field_of_study_sex,1985,1990,1995,2000,2005,2010,2015
All fields,"31,295","36,064","41,576","41,296","43,319","48,015","54,999"
Male,"20,552","22,960","25,160","23,165","23,737","25,526","29,596"
Female,"10,743","13,104","16,416","18,131","19,582","22,489","25,403"
Life sciences,"5,822","6,655","7,956","8,611","9,296","11,314","12,519"
Male,"3,946","4,163","4,598","4,568","4,561","5,101","5,578"
Female,"1,876","2,492","3,358","4,043","4,735","6,213","6,941"
Physical sciences and earth sciences,"3,491","4,212","4,519","4,063","4,357","4,994","5,923"
Male,"2,922","3,421","3,499","3,041","3,141","3,379","3,935"
Female,569,791,"1,020","1,022","1,216","1,615","1,988"
Mathematics and computer sciences,998,"1,597","2,178","1,907","2,329","3,223","3,823"
Male,859,"1,329","1,727","1,507","1,782","2,409","2,880"
Female,139,268,451,400,547,814,943
Psychology and social sciences,"6,027","6,331","6,906","7,443","7,144","7,882","9,094"
Male,"3,517","3,378","3,380","3,370","3,159","3,358","3,762"
Female,"2,510","2,953","3,526","4,073","3,985","4,524","5,332"
Engineering,"3,166","4,894","5,966","5,297","6,408","7,575","9,897"
Male,"2,968","4,479","5,270","4,459","5,226","5,829","7,596"
Female,198,415,696,838,"1,182","1,746","2,301"
Education,"6,733","6,509","6,638","6,439","6,217","5,286","5,116"
Male,"3,242","2,758","2,546","2,260","2,065","1,662","1,614"
Female,"3,491","3,751","4,092","4,179","4,152","3,624","3,502"
Humanities and arts,"3,406","3,854","5,034","5,458","5,181","5,015","5,599"
Male,"2,014","2,188","2,695","2,786","2,600","2,462","2,767"
Female,"1,392","1,666","2,339","2,672","2,581","2,553","2,832"
Otherc,"1,652","2,012","2,379","2,078","2,387","2,726","3,028"
Male,"1,084","1,244","1,445","1,174","1,203","1,326","1,464"
Female,568,768,934,904,"1,184","1,400","1,564"
